user_age,user_gender,like_to_click_ratio,bookmark_to_click_ratio,watch_time_last_7d,series_content_type,series_rating,days_since_last_update,series_wt_7d,series_wt_24h,series_like_ratio,series_like_ratio_7d,series_book_ratio,series_book_ratio_7d,series_share_ratio,series_share_ratio_7d,series_comment_ratio,series_comment_ratio_7d,log_series_clicks,log_series_clicks_7d,match_genre_wt_score,match_tag_click_7d_score,is_language_match,is_age_appropriate,label
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,3.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,-0.16666666666666666,0.5,0.8450980400142568,0.47712125471966244,0.0,0.25,0,1,0
TEEN,MALE,0.0,0.0,0.0,COMIC,0.0,-11,103676.0,0.0,0.004424778761061947,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,2.3560258571931225,2.1367205671564067,0.0,1.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,1.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,1.2787536009528289,0.47712125471966244,0.0,0.25,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.0,0.25,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-12,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,0.3010299956639812,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,COMIC,0.0,-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304489213782739,0.0,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.47712125471966244,0.0,0.5,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,0.0,0.0,0.5,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.3010299956639812,0.0,0.25,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.47712125471966244,0.425531914893617,0.36,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,0.0,0.425531914893617,0.44,0,1,0
TEEN,MALE,0.0,0.0,0.0,COMIC,0.0,-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304489213782739,0.0,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.425531914893617,0.16,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.3010299956639812,0.4042553191489362,0.32,0,1,0
TEEN,UNKNOWN,0.0,0.0,12.0,COMIC,0.0,-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304489213782739,0.0,0.0,0.0,1,1,0
TEEN,UNKNOWN,0.0,0.0,12.0,VIDEO,0.0,-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.0,0.0,1,1,0
TEEN,UNKNOWN,0.0,0.0,12.0,VIDEO,0.0,-13,3.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,-0.16666666666666666,0.5,0.8450980400142568,0.47712125471966244,0.0,0.0,1,1,0
TEEN,UNKNOWN,0.0,0.0,12.0,COMIC,0.0,-11,103676.0,0.0,0.004424778761061947,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,2.3560258571931225,2.1367205671564067,0.0,0.0,1,1,0
TEEN,UNKNOWN,0.0,0.0,12.0,VIDEO,0.0,-13,1.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,1.2787536009528289,0.47712125471966244,0.0,0.0,1,1,0
TEEN,UNKNOWN,0.0,0.0,12.0,VIDEO,0.0,-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.0,0.0,1,1,0
TEEN,UNKNOWN,0.0,0.0,12.0,VIDEO,0.0,-12,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,0.3010299956639812,0.0,0.0,1,1,0
TEEN,UNKNOWN,0.0,0.0,12.0,VIDEO,0.0,-13,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.47712125471966244,0.0,0.0,1,1,0
TEEN,UNKNOWN,0.0,0.0,12.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,0.0,0.0,0.0,1,1,0
TEEN,UNKNOWN,0.0,0.0,12.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.3010299956639812,0.0,0.0,1,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,3.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,-0.16666666666666666,0.5,0.8450980400142568,0.47712125471966244,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,COMIC,0.0,-11,103676.0,0.0,0.004424778761061947,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,2.3560258571931225,2.1367205671564067,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,1.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,1.2787536009528289,0.47712125471966244,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-12,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,0.3010299956639812,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,COMIC,0.0,-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304489213782739,0.0,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.47712125471966244,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,0.0,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.3010299956639812,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304489213782739,0.6989700043360189,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.6020599913279624,0.3010299956639812,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3010299956639812,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,165.0,VIDEO,0.0,-13,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.6020599913279624,0.3010299956639812,0.09919839679358718,0.16129032258064516,0,1,0
TEEN,MALE,0.0,0.0,165.0,COMIC,0.0,-11,103676.0,0.0,0.004424778761061947,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,2.3560258571931225,2.1367205671564067,0.43887775551102204,0.16129032258064516,0,1,0
TEEN,MALE,0.0,0.0,165.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3010299956639812,0.09919839679358718,0.46774193548387094,0,1,0
TEEN,MALE,0.0,0.0,165.0,VIDEO,0.0,-13,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.47712125471966244,0.19238476953907815,0.46774193548387094,0,1,0
TEEN,MALE,0.0,0.0,165.0,VIDEO,0.0,-13,3.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,-0.16666666666666666,0.5,0.8450980400142568,0.47712125471966244,0.012024048096192385,0.29032258064516125,0,1,0
TEEN,MALE,0.0,0.0,165.0,VIDEO,0.0,-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.006012024048096192,0.12903225806451613,0,1,0
TEEN,MALE,0.0,0.0,165.0,COMIC,0.0,-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304489213782739,0.0,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,165.0,VIDEO,0.0,-12,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,0.3010299956639812,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,165.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.20440881763527055,0.25806451612903225,0,1,0
TEEN,MALE,0.0,0.0,165.0,VIDEO,0.0,-13,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304489213782739,0.6989700043360189,0.49298597194388777,0.0967741935483871,0,1,0
TEEN,MALE,0.0,0.0,165.0,VIDEO,0.0,-13,1.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,1.2787536009528289,0.47712125471966244,0.11422845691382766,0.08064516129032258,0,1,0
TEEN,MALE,0.0,0.0,165.0,VIDEO,0.0,-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.21042084168336675,0.46774193548387094,0,1,0
TEEN,MALE,0.0,0.0,165.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.3010299956639812,0.21342685370741482,0.5161290322580645,0,1,0
TEEN,MALE,0.0,0.0,165.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,0.0,0.3096192384769539,0.5,0,1,0
TEEN,MALE,0.0,0.0,127.0,VIDEO,0.0,-13,3.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,-0.16666666666666666,0.5,0.8450980400142568,0.47712125471966244,0.022011661807580178,0.13793103448275862,0,1,0
TEEN,MALE,0.0,0.0,127.0,VIDEO,0.0,-13,1.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,1.2787536009528289,0.47712125471966244,0.018658892128279883,0.10344827586206896,0,1,0
TEEN,MALE,0.0,0.0,127.0,VIDEO,0.0,-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.009183673469387756,0.0,0,1,0
TEEN,MALE,0.0,0.0,127.0,VIDEO,0.0,-12,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,0.3010299956639812,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,127.0,COMIC,0.0,-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304489213782739,0.0,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,127.0,VIDEO,0.0,-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.0,0.05276967930029155,0.3448275862068966,0,1,0
TEEN,MALE,0.0,0.0,127.0,VIDEO,0.0,-13,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304489213782739,0.6989700043360189,0.053644314868804666,0.1724137931034483,0,1,0
TEEN,MALE,0.0,0.0,127.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450980400142568,0.0,0.06895043731778426,0.5862068965517242,0,1,0
TEEN,MALE,0.0,0.0,127.0,VIDEO,0.0,-13,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.47712125471966244,0.04227405247813411,0.5172413793103449,0,1,0
TEEN,MALE,0.0,0.0,127.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6020599913279624,0.3010299956639812,0.05072886297376093,0.5517241379310345,0,1,0
TEEN,MALE,0.0,0.0,127.0,VIDEO,0.0,-13,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.6020599913279624,0.3010299956639812,0.024927113702623908,0.06896551724137931,0,1,0
TEEN,MALE,0.0,0.0,127.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.043586005830903794,0.06896551724137931,0,1,0
TEEN,MALE,0.0,0.0,127.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3010299956639812,0.024927113702623908,0.37931034482758624,0,1,0
TEEN,UNKNOWN,0.0,0.0,168556.0,VIDEO,0.0,-13,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.6020599913279624,0.3010299956639812,0.08470290771175727,0.05,1,1,0
TEEN,UNKNOWN,0.0,0.0,168556.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.19469026548672566,0.25,1,1,0
TEEN,UNKNOWN,0.0,0.0,168556.0,COMIC,0.0,-13,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304489213782739,0.47712125471966244,0.2553729456384324,0.025,1,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.6020599913279624,0.3010299956639812,0.425531914893617,0.12,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3010299956639812,0.425531914893617,0.12,0,1,0
TEEN,MALE,0.0,0.0,0.0,COMIC,0.0,-13,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304489213782739,0.47712125471966244,0.0,0.0,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.425531914893617,0.16,0,1,0
TEEN,MALE,0.0,0.0,0.0,VIDEO,0.0,-13,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304489213782739,0.6989700043360189,0.4042553191489362,0.2,0,1,0
TEEN,MALE,0.0,0.0,0.0,COMIC,0.0,-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19148936170212766,0.2,0,1,0
TEEN,UNKNOWN,0.0,0.0,168556.0,COMIC,0.0,-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3122629582806574,0.25,1,1,0
TEEN,MALE,0.0,0.0,127.0,COMIC,0.0,-13,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304489213782739,0.47712125471966244,0.42725947521865887,0.034482758620689655,0,1,0
TEEN,MALE,0.0,0.0,127.0,COMIC,0.0,-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038483965014577265,0.06896551724137931,0,1,0
TEEN,MALE,0.0,0.0,127.0,COMIC,0.0,-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42725947521865887,0.0,0,1,0
TEEN,UNKNOWN,0.0,0.0,168556.0,COMIC,0.0,-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08512431521281079,0.0,1,1,0
TEEN,UNKNOWN,0.0,0.0,168556.0,COMIC,0.0,-14,8.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.06451612903225806,0.0,1.505149978319906,0.7781512503836436,0.1748841129372103,0.475,1,1,0
TEEN,MALE,0.0,0.0,127.0,COMIC,0.0,-14,8.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.06451612903225806,0.0,1.505149978319906,0.7781512503836436,0.04446064139941691,0.24137931034482757,0,1,0
TEEN,MALE,0.0,0.0,127.0,COMIC,0.0,-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.018367346938775512,0.0,0,1,0
TEEN,UNKNOWN,0.0,0.0,168556.0,COMIC,0.0,-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.13569321533923304,0.2,1,1,0
TEEN,MALE,0.0,0.0,34.0,VIDEO,0.0,-13,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.6020599913279624,0.3010299956639812,0.11764705882352941,0.23076923076923075,0,1,0
TEEN,MALE,0.0,0.0,34.0,COMIC,0.0,-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.0,0.1764705882352941,0.20735785953177258,0,1,0
